,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
115,Vertigo,(1958),128 min,8.3,100        ,"416,977",$3.20M
116,Toy Story 3,(2010),103 min,8.3,92        ,"870,485",$415.00M
117,To Kill a Mockingbird,(1962),129 min,8.3,88        ,"326,456",#113
118,The Apartment,(1960),125 min,8.3,94        ,"190,414",$18.60M
119,Citizen Kane,(1941),119 min,8.3,100        ,"456,663",$1.59M
120,Metropolis,(1927),153 min,8.3,98        ,"181,001",$1.24M
121,Lawrence of Arabia,(1962),218 min,8.3,100        ,"305,998",$44.82M
122,Singin' in the Rain,(1952),103 min,8.3,99        ,"253,528",$8.82M
123,North by Northwest,(1959),136 min,8.3,98        ,"338,956",$13.28M
124,Dangal,(2016),161 min,8.3,****,"202,083",$12.39M
125,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,****,"164,402",$0.03M
126,The Sting,(1973),129 min,8.3,83        ,"273,089",$159.60M
127,Jodaeiye Nader az Simin,(2011),123 min,8.3,95        ,"253,065",$7.10M
128,Double Indemnity,(1944),107 min,8.3,95        ,"163,430",$5.72M
129,Ikiru,(1952),143 min,8.3,92        ,"84,087",$0.06M
130,Taare Zameen Par,(2007),165 min,8.3,****,"201,753",$1.22M
131,K.G.F: Chapter 2,(2022),168 min,8.3,****,"143,007",$6.60M
132,Ladri di biciclette,(1948),89 min,8.3,****,"170,543",$0.33M
133,Ratsasan,(2018),170 min,8.3,****,"48,306",%^%^%^
134,Chhichhore,(2019),143 min,8.3,****,"60,004",$2.00M
135,Ayla: The Daughter of War,(2017),125 min,8.3,****,"42,448",%^%^%^
136,Kantara,(2022),148 min,8.3,****,"98,276",%^%^%^
137,Shershaah,(2021),135 min,8.3,****,"126,620",%^%^%^
138,Drishyam,(2013),160 min,8.3,****,"43,112",%^%^%^
139,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,511,244",$116.90M
140,Batman Begins,(2005),140 min,8.2,70        ,"1,536,296",$206.85M
141,Spider-Man: No Way Home,(2021),148 min,8.2,71        ,"832,949",$804.75M
142,No Country for Old Men,(2007),122 min,8.2,92        ,"1,024,211",$74.28M
143,Jurassic Park,(1993),127 min,8.2,68        ,"1,035,913",$402.45M
144,Taxi Driver,(1976),114 min,8.2,94        ,"886,631",$28.26M
145,Shutter Island,(2010),138 min,8.2,63        ,"1,397,818",$128.01M
146,There Will Be Blood,(2007),158 min,8.2,93        ,"619,751",$40.22M
147,The Thing,(1982),109 min,8.2,57        ,"448,043",$13.78M
148,Snatch,(2000),104 min,8.2,55        ,"887,294",$30.33M
149,The Truman Show,(1998),103 min,8.2,90        ,"1,148,069",$125.62M
150,Kill Bill: Vol. 1,(2003),111 min,8.2,69        ,"1,160,125",$70.10M
151,Casino,(1995),178 min,8.2,73        ,"545,992",$42.44M
152,Hauru no ugoku shiro,(2004),119 min,8.2,82        ,"425,073",$4.71M
153,V for Vendetta,(2005),132 min,8.2,62        ,"1,155,232",$70.51M
154,The Sixth Sense,(1999),107 min,8.2,64        ,"1,025,361",$293.51M
155,1917,(2019),119 min,8.2,78        ,"643,072",$159.23M
156,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"792,550",$197.17M
157,Green Book,(2018),130 min,8.2,69        ,"536,321",$85.08M
158,Die Hard,(1988),132 min,8.2,72        ,"913,360",$83.01M
159,Pan's Labyrinth,(2006),118 min,8.2,98        ,"689,266",$37.63M
160,L.A. Confidential,(1997),138 min,8.2,91        ,"601,817",$64.62M
161,Finding Nemo,(2003),100 min,8.2,90        ,"1,084,639",$380.84M
162,A Beautiful Mind,(2001),135 min,8.2,72        ,"963,792",$170.74M
163,Der Untergang,(2004),156 min,8.2,82        ,"367,274",$5.51M
164,Unforgiven,(1992),130 min,8.2,85        ,"426,693",$101.16M
165,Chinatown,(1974),130 min,8.2,92        ,"340,371",#157
166,The Father,(I) (2020),97 min,8.2,88        ,"177,819",#133
167,Gone with the Wind,(1939),238 min,8.2,97        ,"326,862",$198.68M
168,The Great Escape,(1963),172 min,8.2,86        ,"253,117",$12.10M
169,El secreto de sus ojos,(2009),129 min,8.2,80        ,"217,289",$6.39M
170,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"558,860",$1.23M
171,Some Like It Hot,(1959),121 min,8.2,98        ,"277,187",$25.00M
172,The Elephant Man,(1980),124 min,8.2,78        ,"252,142",#156
173,Ran,(1985),162 min,8.2,97        ,"132,079",$4.14M
174,Tumbbad,(2018),104 min,8.2,****,"55,342",%^%^%^
175,Per qualche dollaro in più,(1965),132 min,8.2,74        ,"267,439",$15.00M
176,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"100,949",%^%^%^
177,Drishyam 2,(2022),140 min,8.2,****,"40,474",%^%^%^
178,Dial M for Murder,(1954),105 min,8.2,75        ,"183,857",$0.01M
179,Rashômon,(1950),88 min,8.2,98        ,"175,722",$0.10M
180,Andhadhun,(2018),139 min,8.2,****,"99,100",$1.37M
181,All About Eve,(1950),138 min,8.2,98        ,"135,917",$0.01M
182,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,8.2,72        ,"68,079",$47.70M
183,Drishyam,(2015),163 min,8.2,****,"90,863",$0.74M
184,Klaus,(2019),96 min,8.2,65        ,"171,957",#177
185,Miracle in Cell No. 7,(2019),132 min,8.2,****,"53,187",%^%^%^
186,"Swades: We, the People",(2004),210 min,8.2,****,"95,340",$1.22M
187,Yôjinbô,(1961),110 min,8.2,93        ,"128,046",#148
188,Zindagi Na Milegi Dobara,(2011),155 min,8.2,****,"83,207",$3.11M
189,The Treasure of the Sierra Madre,(1948),126 min,8.2,98        ,"129,827",$5.01M
190,Le salaire de la peur,(1953),131 min,8.2,85        ,"64,470",#195
191,Pather Panchali,(1955),125 min,8.2,****,"36,373",$0.54M
192,Bacheha-Ye aseman,(1997),89 min,8.2,77        ,"78,331",$0.93M
193,The Kid,(1921),68 min,8.2,****,"131,591",$5.45M
194,To Be or Not to Be,(1942),99 min,8.2,86        ,"40,947",#231
195,Baahubali 2: The Conclusion,(2017),167 min,8.2,****,"109,511",$20.19M
196,Vikram Vedha,(2017),147 min,8.2,****,"48,922",%^%^%^
197,K.G.F: Chapter 1,(2018),156 min,8.2,****,"94,061",%^%^%^
198,Z,(1969),127 min,8.2,86        ,"30,553",$0.08M
199,Babam ve Oglum,(2005),112 min,8.2,****,"89,714",#236
200,Sherlock Jr.,(1924),45 min,8.2,****,"54,228",$0.98M
201,Dersu Uzala,(1975),142 min,8.2,****,"32,510",%^%^%^
202,Uri: The Surgical Strike,(2019),138 min,8.2,****,"69,209",$4.19M
203,Umberto D.,(1952),89 min,8.2,92        ,"27,355",$0.07M
204,Bhaag Milkha Bhaag,(2013),186 min,8.2,****,"70,731",$1.63M
205,Rangasthalam,(2018),170 min,8.2,****,"26,674",$3.51M
206,Paan Singh Tomar,(2012),135 min,8.2,****,"37,377",$0.04M
207,Past Lives,(2023),105 min,8.1,94        ,"27,073",%^%^%^
208,The Exorcist,(1973),122 min,8.1,82        ,"433,084",$232.91M
209,Stand by Me,(1986),89 min,8.1,75        ,"427,339",$52.29M
210,Prisoners,(2013),153 min,8.1,70        ,"771,863",$61.00M
211,Gone Girl,(2014),149 min,8.1,79        ,"1,031,190",$167.77M
212,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"1,049,781",$154.06M
213,The Deer Hunter,(1978),183 min,8.1,86        ,"352,619",$48.98M
214,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.1,63        ,"1,175,660",$305.41M
215,Jaws,(1975),124 min,8.1,87        ,"640,801",$260.00M
216,Hacksaw Ridge,(2016),139 min,8.1,71        ,"568,400",$67.21M
217,Blade Runner,(1982),117 min,8.1,84        ,"801,236",$32.87M
218,The Grand Budapest Hotel,(2014),99 min,8.1,88        ,"859,086",$59.10M
